id,disease,category,description
dis-001,Common Cold,Respiratory,"Viral infection of the upper respiratory tract. Symptoms include runny or stuffy nose, sneezing, sore throat, mild headache, low-grade fever, fatigue, and watery eyes. Usually resolves within 7-10 days. Highly contagious through respiratory droplets."
dis-002,Influenza (Flu),Respiratory,"Viral respiratory illness caused by influenza viruses. Symptoms include sudden onset of high fever (101-104°F), severe body aches, chills, extreme fatigue, dry cough, headache, sore throat, and nasal congestion. Can lead to complications like pneumonia. Duration 1-2 weeks."
dis-003,COVID-19,Respiratory,"Infectious disease caused by SARS-CoV-2 coronavirus. Symptoms include fever, dry cough, fatigue, loss of taste or smell, shortness of breath, body aches, headache, sore throat, congestion, nausea, and diarrhea. Severity ranges from mild to severe respiratory failure."
dis-004,Pneumonia,Respiratory,"Lung infection causing inflammation of air sacs. Symptoms include high fever with chills, productive cough with phlegm (green, yellow, or bloody), sharp chest pain when breathing, shortness of breath, rapid breathing, fatigue, confusion in elderly, and sweating."
dis-005,Asthma,Respiratory,"Chronic inflammatory disease of airways. Symptoms include wheezing, shortness of breath, chest tightness, coughing (especially at night or early morning), difficulty breathing during exercise, and respiratory distress during attacks. Triggered by allergens, exercise, or cold air."
dis-006,Type 2 Diabetes,Metabolic,"Chronic condition affecting blood sugar regulation. Symptoms include increased thirst, frequent urination, unexplained weight loss, fatigue, blurred vision, slow-healing wounds, frequent infections, tingling or numbness in hands and feet, and dark skin patches."
dis-007,Hypertension,Cardiovascular,"High blood pressure condition. Often called silent killer as most have no symptoms. When present: severe headaches, nosebleeds, shortness of breath, dizziness, chest pain, visual changes, blood in urine. Can lead to heart attack, stroke, kidney damage."
dis-008,Migraine,Neurological,"Severe recurring headache disorder. Symptoms include intense throbbing pain (usually one side of head), nausea and vomiting, extreme sensitivity to light and sound, visual disturbances (aura) like flashing lights or blind spots, tingling in face or extremities."
dis-009,Depression,Mental Health,"Major depressive disorder affecting mood and behavior. Symptoms include persistent sadness, loss of interest in activities, sleep disturbances (insomnia or oversleeping), fatigue, appetite changes, difficulty concentrating, feelings of worthlessness, and thoughts of death or suicide."
dis-010,Anxiety Disorder,Mental Health,"Excessive worry and fear affecting daily life. Symptoms include restlessness, rapid heartbeat, sweating, trembling, difficulty breathing, chest tightness, nausea, dizziness, sleep problems, muscle tension, difficulty concentrating, and panic attacks."
dis-011,Gastroesophageal Reflux Disease (GERD),Digestive,"Chronic acid reflux condition. Symptoms include heartburn (burning sensation in chest), regurgitation of food or sour liquid, difficulty swallowing, chest pain, sensation of lump in throat, chronic cough, laryngitis, and disrupted sleep from acid reflux."
dis-012,Irritable Bowel Syndrome (IBS),Digestive,"Chronic gastrointestinal disorder. Symptoms include abdominal pain and cramping, bloating, gas, diarrhea or constipation (or alternating both), mucus in stool, urgency to have bowel movements, and feeling of incomplete evacuation. Triggered by stress or certain foods."
dis-013,Arthritis (Rheumatoid),Autoimmune,"Autoimmune disease affecting joints. Symptoms include joint pain, swelling, and stiffness (especially in morning), symmetrical joint involvement, fatigue, low-grade fever, loss of appetite, firm lumps under skin (nodules), and decreased range of motion."
dis-014,Osteoarthritis,Musculoskeletal,"Degenerative joint disease. Symptoms include joint pain that worsens with activity, stiffness after rest, reduced flexibility, grating sensation when using joint, bone spurs, swelling around joints. Commonly affects knees, hips, hands, and spine."
dis-015,Chronic Kidney Disease,Renal,"Progressive loss of kidney function. Symptoms include fatigue, decreased urine output, swelling in legs and ankles (edema), shortness of breath, nausea, confusion, chest pain, high blood pressure, itching, and muscle cramps."
dis-016,Hypothyroidism,Endocrine,"Underactive thyroid gland. Symptoms include fatigue, weight gain, cold intolerance, dry skin, hair loss, constipation, muscle weakness, depression, memory problems, slow heart rate, puffy face, and elevated cholesterol levels."
dis-017,Hyperthyroidism,Endocrine,"Overactive thyroid gland. Symptoms include rapid heartbeat, weight loss despite increased appetite, anxiety, tremors, sweating, heat intolerance, frequent bowel movements, bulging eyes (Graves' disease), thin skin, and menstrual irregularities."
dis-018,Anemia,Hematological,"Reduced red blood cells or hemoglobin. Symptoms include fatigue and weakness, pale skin, shortness of breath, dizziness, cold hands and feet, headaches, chest pain, fast or irregular heartbeat, brittle nails, and unusual cravings (pica)."
dis-019,Urinary Tract Infection (UTI),Infectious,"Bacterial infection of urinary system. Symptoms include burning sensation during urination, frequent urge to urinate, passing small amounts of urine, cloudy or strong-smelling urine, blood in urine, pelvic pain in women, and lower back pain."
dis-020,Celiac Disease,Autoimmune,"Immune reaction to eating gluten. Symptoms include diarrhea, bloating, gas, abdominal pain, nausea, constipation, fatigue, weight loss, iron-deficiency anemia, skin rash (dermatitis herpetiformis), mouth ulcers, and neurological issues like numbness."

